Date,Open,High,Low,Close,Volume,Adj Close
2013-11-05,13.10,13.60,12.91,13.25,66100,13.25
2013-11-04,12.69,12.69,12.69,12.69,000,12.69
2013-11-01,12.70,12.89,12.55,12.69,75300,12.69
2013-10-31,12.50,12.85,12.50,12.65,77700,12.65
2013-10-30,12.35,12.75,12.20,12.45,41500,12.45
2013-10-29,12.50,12.65,12.06,12.46,57700,12.46
2013-10-28,12.75,13.00,12.35,12.44,45000,12.44
2013-10-25,13.10,13.70,12.54,12.73,93100,12.73
2013-10-24,13.55,13.60,13.11,13.16,65900,13.16
2013-10-23,14.39,14.60,13.26,13.59,202000,13.59
2013-10-22,13.85,13.95,13.60,13.95,132200,13.95
2013-10-21,12.75,13.29,12.75,13.29,139000,13.29
2013-10-18,12.00,12.80,12.00,12.66,71400,12.66
2013-10-17,12.50,13.10,12.36,12.42,81100,12.42
2013-10-16,13.01,13.01,13.01,13.01,000,13.01
2013-10-15,14.37,14.37,13.01,13.01,210200,13.01
2013-10-14,13.69,13.69,13.31,13.69,165600,13.69
2013-10-11,12.48,13.04,12.48,13.04,68700,13.04
2013-10-10,11.83,12.42,11.74,12.42,78700,12.42
2013-10-09,11.81,12.05,11.68,11.83,29000,11.83
2013-10-08,11.75,12.04,11.62,11.82,37900,11.82
2013-10-07,11.60,12.20,11.45,11.77,48900,11.77
2013-10-04,12.00,12.18,11.50,11.71,60900,11.71
2013-10-03,11.50,12.10,11.15,11.98,133600,11.98
2013-10-02,11.53,11.53,11.53,11.53,000,11.53
2013-10-01,12.12,12.14,11.52,11.53,146400,11.53
2013-09-30,13.20,13.20,12.12,12.12,89200,12.12
2013-09-27,12.25,12.76,12.25,12.75,249100,12.75
2013-09-26,11.10,12.16,11.10,12.16,114200,12.16
2013-09-25,11.99,12.10,11.48,11.59,133500,11.59
2013-09-24,12.75,12.90,12.08,12.08,77400,12.08
2013-09-23,12.40,13.35,12.40,12.71,46400,12.71
2013-09-20,13.59,13.59,12.92,12.92,47300,12.92
2013-09-19,14.50,14.60,13.59,13.59,112900,13.59
2013-09-18,15.30,15.65,14.18,14.30,201200,14.30
2013-09-17,14.70,14.94,13.80,14.92,407600,14.92
2013-09-16,13.90,14.23,12.50,14.23,526400,14.23
2013-09-13,11.90,12.94,11.77,12.94,401200,12.94
2013-09-12,11.32,12.04,11.32,11.77,48800,11.77
2013-09-11,11.99,12.15,11.20,11.68,68700,11.68
2013-09-10,11.79,11.99,11.30,11.78,42100,11.78
2013-09-09,11.00,11.00,11.00,11.00,000,11.00
2013-09-06,10.88,11.80,10.42,11.00,80700,11.00
2013-09-05,10.40,10.98,10.40,10.88,46100,10.88
2013-09-04,10.75,10.85,10.35,10.46,30700,10.46
2013-09-03,10.90,11.22,10.41,10.80,18700,10.80
2013-09-02,11.10,11.25,10.60,10.83,61600,10.83
2013-08-30,11.60,11.60,10.90,11.12,29500,11.12
2013-08-29,10.75,11.11,10.60,11.05,53700,11.05
2013-08-28,11.00,11.10,10.53,10.59,40900,10.59
2013-08-27,11.55,11.55,11.03,11.08,48100,11.08
2013-08-26,11.75,11.95,11.36,11.61,52400,11.61
2013-08-23,12.00,12.27,11.70,11.84,72900,11.84
2013-08-22,10.60,11.70,10.60,11.69,40900,11.69
2013-08-21,11.20,12.29,11.14,11.15,102100,11.15
2013-08-20,11.72,11.72,11.72,11.72,13400,11.72
2013-08-19,12.33,12.33,12.33,12.33,11300,12.33
2013-08-16,13.65,13.70,12.97,12.97,21800,12.97
2013-08-15,13.65,13.65,13.65,13.65,000,13.65
2013-08-14,13.59,13.65,13.00,13.65,84500,13.65
2013-08-13,12.98,13.00,12.11,13.00,140200,13.00
2013-08-12,12.39,12.39,12.25,12.39,21500,12.39
2013-08-09,11.80,11.80,11.80,11.80,000,11.80
2013-08-08,11.80,11.80,11.50,11.80,28600,11.80
2013-08-07,10.75,11.24,10.41,11.24,49800,11.24
2013-08-06,11.30,11.40,10.71,10.71,67200,10.71
2013-08-05,11.07,12.23,11.07,11.27,318200,11.27
2013-08-02,11.65,11.65,11.65,11.65,23800,11.65
2013-08-01,12.26,12.26,12.26,12.26,5500,12.26
2013-07-31,12.90,12.90,12.90,12.90,3800,12.90
2013-07-30,13.55,13.55,13.55,13.55,2300,13.55
2013-07-29,14.25,14.25,14.25,14.25,9300,14.25
2013-07-26,15.50,16.00,14.95,14.95,46300,14.95
2013-07-25,16.20,16.55,15.35,15.70,176000,15.70
2013-07-24,16.35,16.35,14.85,16.10,414700,16.10
2013-07-23,15.55,15.60,15.00,15.60,75900,15.60
2013-07-22,14.75,14.90,14.30,14.90,99100,14.90
2013-07-19,14.20,14.20,13.80,14.20,24300,14.20
2013-07-18,13.55,13.55,12.85,13.55,218700,13.55
2013-07-17,11.75,12.95,11.75,12.95,256800,12.95
2013-07-16,12.35,12.35,12.35,12.35,11400,12.35
2013-07-15,12.95,13.80,12.95,12.95,52700,12.95
2013-07-12,13.65,14.25,13.60,13.60,80500,13.60
2013-07-11,15.20,15.20,14.30,14.30,117200,14.30
2013-07-10,15.25,15.25,15.00,15.00,67700,15.00
2013-07-09,16.40,16.40,15.75,15.75,108400,15.75
2013-07-08,17.40,17.50,16.55,16.55,243300,16.55
2013-07-05,17.50,17.50,16.10,17.40,356800,17.40
2013-07-04,16.00,16.70,15.35,16.70,164100,16.70
2013-07-03,16.35,16.35,15.95,15.95,281000,15.95
2013-07-02,16.75,18.45,16.75,16.75,1093900,16.75
2013-07-01,17.60,17.60,17.60,17.60,8500,17.60
2013-06-28,18.50,18.50,18.50,18.50,8500,18.50
2013-06-27,19.45,19.45,19.45,19.45,6600,19.45
2013-06-26,20.45,20.45,20.45,20.45,4400,20.45
2013-06-25,21.50,21.50,21.50,21.50,29300,21.50
2013-06-24,22.60,22.60,22.60,22.60,2800,22.60
2013-06-21,23.75,23.75,23.75,23.75,4900,23.75
2013-06-20,24.95,24.95,24.95,24.95,3100,24.95
2013-06-19,26.25,26.25,26.25,26.25,2900,26.25
2013-06-18,27.60,27.60,27.60,27.60,7000,27.60
2013-06-17,29.00,29.00,29.00,29.00,14200,29.00
2013-06-14,30.50,30.50,30.50,30.50,21300,30.50
2013-06-13,32.10,32.10,32.10,32.10,16800,32.10
2013-06-12,35.00,35.00,33.75,33.75,43600,33.75
2013-06-11,38.00,38.00,35.50,35.50,32100,35.50
2013-06-10,40.00,40.00,37.10,37.35,54300,37.35
2013-06-07,41.20,41.20,39.00,39.80,60400,39.80
2013-06-06,42.40,42.40,40.30,41.05,43400,41.05
